Location,Date,WindDir9am,WindSpeed9am,WindGustDir,WindGustSpeed,WindSpeed3pm,Humidity9am,Pressure9am,Cloud9am,Temp9am
AliceSprings,2008-12-01,NNE,20.0,WNW,65.5,11.0,17.0,1010.5,0.0,30.4
AliceSprings,2008-12-02,NNW,24.0,NNW,41.0,9.0,18.0,1009.3,2.0,32.5
AliceSprings,2008-12-03,ENE,7.0,NNW,48.0,24.0,17.0,1006.3,0.0,35.0
AliceSprings,2008-12-04,SSW,2.0,WNW,65.5,22.0,29.0,1008.7,3.0,32.3
AliceSprings,2008-12-05,S,9.0,SSW,46.0,17.0,58.0,1014.0,7.0,26.8
AliceSprings,2008-12-06,SSW,19.0,SSE,35.0,11.0,90.0,1014.3,8.0,21.9
AliceSprings,2008-12-07,SSW,11.0,N,31.0,17.0,70.0,1011.4,7.0,25.0
AliceSprings,2008-12-08,ENE,15.0,E,26.0,9.0,63.0,1010.9,3.0,24.5
AliceSprings,2008-12-09,N,28.0,S,50.0,11.0,40.0,1006.2,3.0,32.5
AliceSprings,2008-12-10,NNE,22.0,W,54.0,35.0,38.0,1005.9,4.0,32.8
AliceSprings,2008-12-11,NNW,26.0,NW,63.0,9.0,50.0,1005.6,7.0,29.5
AliceSprings,2008-12-12,NNW,13.0,NW,41.0,19.0,88.0,1005.2,6.0,22.5
AliceSprings,2008-12-13,S,26.0,S,37.0,24.0,55.0,1012.9,3.0,20.7
AliceSprings,2008-12-14,SE,20.0,SSE,46.0,19.0,37.0,1014.1,0.0,20.5
AliceSprings,2008-12-15,ESE,20.0,ESE,35.0,13.0,30.0,1013.7,0.0,21.7
AliceSprings,2008-12-16,E,22.0,ENE,31.0,13.0,21.0,1011.9,0.0,24.6
AliceSprings,2008-12-17,NE,9.0,W,35.0,9.0,18.0,1009.3,0.0,29.2
AliceSprings,2008-12-18,SSW,15.0,S,41.0,17.0,21.0,1007.4,3.0,31.0
AliceSprings,2008-12-19,ESE,26.0,ESE,41.0,17.0,32.0,1010.1,6.0,27.4
AliceSprings,2008-12-20,ESE,31.0,E,41.0,13.0,20.0,1010.9,2.0,26.9
AliceSprings,2008-12-21,E,19.0,SE,30.0,15.0,11.0,1007.8,3.0,30.7
AliceSprings,2008-12-22,NE,13.0,E,33.0,19.0,16.0,1007.7,2.0,33.2
AliceSprings,2008-12-23,NE,28.0,ENE,48.0,20.0,12.0,1007.9,6.0,34.0
AliceSprings,2008-12-24,ESE,20.0,SE,37.0,17.0,17.0,1009.8,6.0,30.5
AliceSprings,2008-12-25,E,13.0,ESE,30.0,13.0,30.0,1010.2,6.0,30.4
AliceSprings,2008-12-26,E,20.0,N,65.5,35.0,21.0,1006.3,6.0,33.5
AliceSprings,2008-12-27,E,11.0,SW,22.0,7.0,77.0,1009.0,7.0,23.9
AliceSprings,2008-12-28,ESE,0.0,NNE,46.0,19.0,71.0,1007.3,7.0,25.9
AliceSprings,2008-12-29,SE,19.0,SE,39.0,17.0,65.0,1008.5,4.0,26.6
AliceSprings,2008-12-30,ESE,28.0,ESE,37.0,17.0,21.0,1009.6,3.0,26.4
AliceSprings,2008-12-31,E,19.0,ESE,37.0,13.0,18.0,1007.3,2.0,27.3
AliceSprings,2009-01-01,E,22.0,SE,54.0,28.0,18.0,1005.8,5.0,29.0
AliceSprings,2009-01-02,SE,30.0,ESE,50.0,30.0,20.0,1009.2,2.0,27.3
AliceSprings,2009-01-03,SE,19.0,SE,54.0,24.0,17.0,1009.3,0.0,26.9
AliceSprings,2009-01-04,ESE,17.0,SE,57.0,26.0,38.0,1007.7,2.0,29.0
AliceSprings,2009-01-05,SE,20.0,ESE,57.0,30.0,38.0,1007.3,1.0,29.6
AliceSprings,2009-01-06,SE,19.0,SSE,52.0,24.0,44.0,1006.4,2.0,30.0
AliceSprings,2009-01-07,SSW,22.0,S,59.0,35.5,65.0,1007.7,4.0,27.1
AliceSprings,2009-01-08,ESE,24.0,SE,56.0,31.0,63.0,1009.4,4.0,26.2
AliceSprings,2009-01-09,SE,24.0,SSE,46.0,24.0,25.0,1009.3,0.0,29.0
AliceSprings,2009-01-10,E,20.0,SSE,41.0,15.0,13.0,1006.6,0.0,30.3
AliceSprings,2009-01-11,ESE,17.0,SSE,44.0,17.0,11.0,1005.9,0.0,30.0
AliceSprings,2009-01-12,ESE,24.0,SE,43.0,17.0,9.0,1009.3,0.0,30.6
AliceSprings,2009-01-13,N,24.0,E,33.0,11.0,35.0,1009.7,0.0,31.6
AliceSprings,2009-01-14,ENE,13.0,ESE,59.0,35.5,27.0,1008.9,1.0,31.7
AliceSprings,2009-01-15,E,22.0,ESE,65.5,35.0,25.0,1010.1,1.0,30.9
AliceSprings,2009-01-16,ESE,30.0,ESE,56.0,30.0,15.0,1012.6,1.0,30.1
AliceSprings,2009-01-17,ESE,26.0,ENE,41.0,28.0,15.0,1012.8,3.0,29.7
AliceSprings,2009-01-18,ESE,7.0,ENE,39.0,13.0,53.0,1013.2,8.0,23.9
AliceSprings,2009-01-19,ENE,13.0,ESE,30.0,22.0,75.0,1010.4,7.0,22.0
AliceSprings,2009-01-20,NW,7.0,WNW,37.0,17.0,74.0,1008.2,7.0,25.2
AliceSprings,2009-01-21,WNW,9.0,S,39.0,19.0,68.0,1008.2,6.0,28.0
AliceSprings,2009-01-22,WSW,15.0,SE,41.0,9.0,48.0,1006.3,7.0,30.1
AliceSprings,2009-01-23,WNW,15.0,N,35.0,13.0,42.0,1006.6,5.0,32.6
AliceSprings,2009-01-24,NW,9.0,SE,54.0,28.0,36.0,1007.9,4.0,33.2
AliceSprings,2009-01-25,E,17.0,SE,65.5,35.5,39.0,1010.1,1.0,32.9
AliceSprings,2009-01-26,NW,7.0,E,44.0,13.0,21.0,1009.8,1.0,31.9
AliceSprings,2009-01-27,NE,22.0,E,61.0,31.0,41.0,1008.1,0.0,32.3
AliceSprings,2009-01-28,ENE,28.0,ENE,54.0,30.0,37.0,1007.2,0.0,31.1
AliceSprings,2009-01-29,NE,15.0,ENE,52.0,24.0,37.0,1007.1,1.0,30.1
AliceSprings,2009-01-30,ESE,17.0,ESE,65.5,35.5,36.0,1005.0,2.0,29.1
AliceSprings,2009-01-31,E,20.0,ENE,65.5,17.0,65.0,1006.2,6.0,25.1
AliceSprings,2009-02-01,E,22.0,E,46.0,20.0,47.0,1007.4,3.0,28.4
AliceSprings,2009-02-02,E,11.0,SE,44.0,28.0,37.0,1005.6,6.0,32.4
AliceSprings,2009-02-03,NE,6.0,ESE,57.0,28.0,38.0,1004.7,1.0,32.3
AliceSprings,2009-02-04,NE,15.0,E,65.5,24.0,28.0,1004.6,0.0,32.6
AliceSprings,2009-02-05,NNW,13.0,ESE,50.0,31.0,25.0,1004.2,1.0,33.9
AliceSprings,2009-02-06,WNW,15.0,E,65.5,30.0,27.0,1003.8,2.0,34.6
AliceSprings,2009-02-07,NE,15.0,ENE,48.0,19.0,25.0,1004.5,0.0,33.0
AliceSprings,2009-02-08,ESE,11.0,SE,50.0,24.0,21.0,1004.9,4.0,32.9
AliceSprings,2009-02-09,SSE,26.0,SSE,48.0,30.0,30.0,1007.9,2.0,29.0
AliceSprings,2009-02-10,SSE,28.0,S,52.0,35.0,17.0,1010.3,6.0,26.1
AliceSprings,2009-02-11,ESE,28.0,SE,46.0,30.0,17.0,1013.3,3.0,22.4
AliceSprings,2009-02-12,E,22.0,E,43.0,24.0,15.0,1013.1,7.0,22.1
AliceSprings,2009-02-13,E,19.0,ESE,44.0,26.0,17.0,1013.9,1.0,23.2
AliceSprings,2009-02-14,E,11.0,S,43.0,24.0,11.0,1013.0,0.0,24.1
AliceSprings,2009-02-15,SSE,20.0,SE,43.0,24.0,24.0,1012.2,0.0,26.2
AliceSprings,2009-02-16,E,13.0,SE,54.0,28.0,26.0,1011.1,2.0,26.6
AliceSprings,2009-02-17,N,9.0,SSE,37.0,11.0,17.0,1007.9,1.0,28.5
AliceSprings,2009-02-18,NE,20.0,SE,39.0,11.0,27.0,1007.5,0.0,28.1
AliceSprings,2009-02-19,NE,17.0,SE,50.0,20.0,23.0,1007.6,1.0,28.6
AliceSprings,2009-02-20,ESE,20.0,ESE,41.0,24.0,35.0,1012.3,1.0,26.7
AliceSprings,2009-02-21,E,24.0,E,46.0,28.0,30.0,1012.4,3.0,27.7
AliceSprings,2009-02-22,ESE,13.0,E,37.0,17.0,23.0,1010.3,0.0,26.7
AliceSprings,2009-02-23,E,15.0,SE,54.0,26.0,17.0,1010.3,0.0,29.9
AliceSprings,2009-02-24,ESE,17.0,ESE,37.0,17.0,11.0,1010.0,0.0,31.2
AliceSprings,2009-02-25,E,19.0,ENE,50.0,28.0,40.0,1009.9,0.0,31.3
AliceSprings,2009-02-26,NNE,22.0,ENE,39.0,19.0,44.0,1010.3,0.0,31.1
AliceSprings,2009-02-27,NNW,22.0,N,41.0,9.0,38.0,1010.2,3.0,32.1
AliceSprings,2009-02-28,NW,20.0,ENE,39.0,19.0,25.0,1009.6,1.0,32.5
AliceSprings,2009-03-01,NW,33.0,NNW,50.0,15.0,27.0,1009.8,0.0,32.5
AliceSprings,2009-03-02,N,35.0,N,52.0,28.0,28.0,1009.4,1.0,32.6
AliceSprings,2009-03-03,N,31.0,S,65.5,13.0,20.0,1011.2,1.0,34.3
AliceSprings,2009-03-04,SE,30.0,SSE,54.0,28.0,42.0,1020.9,3.0,21.2
AliceSprings,2009-03-05,SE,28.0,SE,48.0,24.0,24.0,1020.3,1.0,21.6
AliceSprings,2009-03-06,ESE,19.0,SE,48.0,20.0,29.0,1015.6,0.0,22.7
AliceSprings,2009-03-07,ENE,11.0,SE,41.0,15.0,27.0,1012.5,0.0,24.6
AliceSprings,2009-03-08,SSW,9.0,SSW,33.0,15.0,24.0,1010.6,0.0,25.0
AliceSprings,2009-03-09,SSE,20.0,SE,33.0,15.0,37.0,1013.4,1.0,23.3
AliceSprings,2009-03-10,ESE,17.0,E,33.0,11.0,28.0,1012.7,1.0,25.4
AliceSprings,2009-03-11,E,7.0,E,48.0,20.0,23.0,1012.7,5.0,27.3
AliceSprings,2009-03-12,E,33.0,E,48.0,7.0,31.0,1012.1,5.0,26.7
AliceSprings,2009-03-13,E,15.0,WSW,50.0,15.0,29.0,1012.1,1.0,29.1
AliceSprings,2009-03-14,N,9.0,SE,50.0,20.0,36.0,1012.1,1.0,30.7
